sku,question,answer
NS-001,Aura Bluetooth Headphones,"Battery: up to 30 hours playback; 5-minute quick charge adds ~3 hours. Connectivity: Bluetooth 5.3 with multipoint (2 devices). Dimensions: 7.1 × 6.3 × 3.2 in (folded); 9.8 oz. Water resistance: not rated — avoid rain and sweat. Compatibility: iOS, Android, macOS, Windows; 3.5 mm wired backup included. Box contents: headphones, USB-C cable, 3.5 mm audio cable, soft case. Use case: all-day listening, travel, office. Limitations: no active noise cancellation; not designed for high-impact sports."
NS-002,Smartwatch Pulse,"Battery: up to 7 days smartwatch mode; GPS workouts ~20 hours. Connectivity: Bluetooth 5.2; syncs with Vega app (iOS/Android). Dimensions: 44 mm case; 1.4 in always-on AMOLED; band fits 140–210 mm wrists. Water resistance: 5 ATM (50 m) — swim-safe. Compatibility: iOS 15+, Android 10+. Box contents: watch, silicone band, magnetic charger. Use case: fitness tracking, daily notifications, sleep monitoring. Limitations: no cellular; ECG not available on this model."
NS-003,Mini Bluetooth Speaker,"Battery: up to 12 hours at 50% volume. Connectivity: Bluetooth 5.1; range ~33 ft. Dimensions: 3.5 × 3.5 × 4.1 in; 12 oz. Water resistance: IPX7 (submersible up to 1 m for 30 min). Compatibility: any Bluetooth audio source. Box contents: speaker, USB-C cable, carabiner clip. Use case: travel, outdoor, shower. Limitations: no microphone for calls; mono driver (360° sound, not stereo separation)."
NS-004,Gourmet Coffee Kit,"Battery: N/A (manual brewing). Connectivity: N/A. Dimensions: gift box 12 × 9 × 4 in; ~2.4 lb total. Water resistance: N/A — keep dry. Compatibility: standard pour-over kettles and mugs. Box contents: 3 × 12 oz single-origin roasts, ceramic dripper, stainless reusable filter, brewing guide. Use case: gifts, home manual brewing. Limitations: not compatible with pod or espresso machines; roasts are whole bean (grinder not included)."
NS-005,Headphone Studio Pro,"Battery: up to 40 hours with ANC on; 45 hours ANC off. Connectivity: Bluetooth 5.3 + 3.5 mm wired. Dimensions: 7.5 × 6.8 × 3.4 in; 10.6 oz. Water resistance: not rated. Compatibility: studio interfaces, phones, laptops via BT or cable. Box contents: headphones, USB-C cable, 3.5 mm cable, hard case. Use case: mixing, podcasting, focused work. Limitations: currently out of stock; closed-back design may feel warm in summer."
NS-006,Earbuds Sport Lite,"Battery: 6 hours per bud; 24 hours with case. Connectivity: Bluetooth 5.2; AAC/SBC. Dimensions: 0.9 × 0.7 × 0.9 in per bud; 1.8 oz case. Water resistance: IPX5 (splash/sweat). Compatibility: iOS, Android. Box contents: earbuds, charging case, 3 wing-tip sizes, USB-C cable. Use case: running, gym, commute. Limitations: no active noise cancellation; touch controls only (no volume rocker on buds)."
NS-007,Soundbar Cinema 380,"Battery: N/A (AC powered). Connectivity: HDMI ARC, optical, Bluetooth 5.0. Dimensions: soundbar 32 × 2.4 × 3.1 in; wireless sub 7 × 7 × 8 in. Water resistance: N/A — indoor use only. Compatibility: TVs with HDMI ARC/eARC; Bluetooth phones/tablets. Box contents: soundbar, wireless subwoofer, HDMI cable, optical cable, wall-mount kit. Use case: living-room TV, streaming. Limitations: not a Dolby Atmos system; sub placement affects bass response."
NS-008,Fitness Band Move,"Battery: up to 14 days typical use. Connectivity: Bluetooth 5.0; Vega app sync. Dimensions: 0.7 × 0.5 in display; band 120–210 mm. Water resistance: 5 ATM swim-safe. Compatibility: iOS 14+, Android 9+. Box contents: band, magnetic charger, quick-start guide. Use case: steps, sleep, basic workouts. Limitations: no built-in GPS (uses phone GPS); no onboard music storage."
NS-009,Smartwatch Pulse Max,"Battery: up to 5 days with always-on display; 40 hours GPS mode. Connectivity: Bluetooth 5.3, Wi-Fi (app sync). Dimensions: 46 mm titanium case; 1.5 in AMOLED. Water resistance: 10 ATM. Compatibility: iOS 16+, Android 11+. Box contents: watch, sport band, leather band, USB-C magnetic dock. Use case: health monitoring, outdoor GPS, premium gift. Limitations: no cellular; ECG requires regional app approval."
NS-010,Halo Smart Ring,"Battery: up to 7 days; charges in ~90 min. Connectivity: Bluetooth 5.1; Vega app. Dimensions: sizes 6–13 (sizing kit included); 0.28 in thick; ~0.14 oz. Water resistance: IP68 (swim, shower). Compatibility: iOS 15+, Android 10+. Box contents: ring, charging dock, sizing inserts. Use case: sleep tracking, recovery scores, discreet wear. Limitations: no display or haptic notifications; sizing non-returnable once worn."
